query,label
talk to me in italian from now on,local
what is the correct spelling of judgment,local
does chili's take reservations,online
please respond in latin from now on,local
i'm going out of the country and need to notify my bank,online
Traffic status on the interstate this morning,online
"just checking, who won the t20 world cup game last night this morning",online
Ngl is the airport terminal open or blocked at the moment just curious,online
ngl the t20 world cup game highlights from tonight — need it fast,online
ngl is the election results affecting traffic right now?,online
what are some funny things about food,local
current congestion level on the main train route,online
Background on the american civil war causes for my essay,local
current air quality index in mumbai,online
"no, that can't be right",local
please talk quietly,local
what subjects are you versed in,local
what entity is your boss,local
Real time quote for nasdaq,online
live score for the premier league match right now,online
"for class tomorrow, give me a quick rundown of the ottoman empire decline with an example",local
"hey, quick check on solana before i trade as of now",online
spell potato,local
"fyi need to know, is nasdaq pumping or dumping today today",online
the volume should be decreased,local
use one of your male voices,local
do you know of any good mexican restaurants in seattle,online
"need this for an interview, solid overview of git rebase vs merge for revision",local
"Need this for an interview, explain the boston tea party in a short paragraph for my notes",local
so what's going on with the ceasefire negotiations at the moment for the group chat,online
"for class tomorrow, walk through logarithm rules with numbers — struggling with this",local
direct me to the closest starbucks near home,online
Hypothesis testing — proof and intuition,local
"for class tomorrow, walk through correlation vs causation with numbers pls",local
"i don't get git rebase vs merge, someone explain",local
So linear regression math for my calculus homework before my exam,local
how long does it take to cook ham,local
what do you know,local
solana rate as of this minute,online
i appreciate that answer!,local
explain virtual memory with a simple example for revision,local
"Fyi need to know, who won the india vs australia test last night",online
important dates related to the industrial revolution key inventions?,local
current valuation on reliance shares,online
i want to see paris will i need an international visa,online
quick one - nifty 50 market cap right now no cap,online
"For my homework, important dates related to the moon landing mission details pls",local
ok dynamic programming — key points to remember,local
integration by parts explained with an example problem,local
apple stock price right now,online
what's the chance of rain on friday,online
"hey, how to solve problems using correlation vs causation before my exam",local
walk me through regular expressions step by step,local
what would your age be,local
Solana market cap right now for the group chat,online
why did the russian revolution 1917 happen,local
derive standard deviation formula step by step,local
what is 005 percent of 1 percent,local
what kinds of questions can you answer,local
Quick q - tail recursion — key points to remember,local
say it again please,local
"normalization forms, explain like i'm a beginner coder for revision",local
what is the name of your boss,local
tell me about any travel alerts issued for germany,online
So any delays on the toll plaza today no cap,online
so is the border tensions affecting traffic right now right now,online
the ashes series result just now before i head out,online
