query,label
what expression would i use to say i love you if i were an italian,local
"can you tell me how to say 'i do not speak much spanish', in spanish",local
"what is the equivalent of, 'life is good' in french",local
"tell me how to say, 'it is a beautiful morning' in italian",local
"if i were mongolian, how would i say that i am a tourist",local
how do i say 'hotel' in finnish,local
"i need you to translate the sentence, 'we will be there soon' into portuguese",local
please tell me how to ask for a taxi in french,local
"can you tell me how i would say, 'more bread please' in french",local
what is the correct way to say 'i am a visitor' in french,local
"how would i say, 'i don't know the answer' in spanish",local
i would like to know the proper way to greet an adult in portuguese,local
what words would i use to tell someone i am lost if i were japanese,local
how would i say thank you if i were russian,local
can you tell me how i would normally say thank you as a french person,local
i would like to know how to say hello in french,local
if i were english how would i say subway,local
i would i say subway if i were english,local
how do you say hi in french,local
in england how do they say subway,local
translate hello in french,local
how is hello said in french,local
what do you call a subway if you were english,local
how would i say if i were english subway,local
how should i say hello in french,local
how could i say twin in chinese,local
how can i say not now in spanish,local
what do spanish people say for the word cow,local
translate hello to english,local
how do you say goodbye in spanish,local
how would i say love in french,local
could you translate atm machine into english,local
please translate grocery into french for me,local
how do germans say goodnight,local
tell me how the russians say notebook,local
how do vietnameses people say hello,local
how do i say thank you in japanese,local
what is latin for i love you,local
how can i thank somebody in italian,local
how do i say you're welcome in chinese,local
translate hello english to french,local
what is hello in french,local
what phrase means goodbye in hawaii,local
what spanish word means hello,local
translate hello to french,local
translate english to french hello,local
what is the word for hello spanish,local
how do they say goodbye in hawaii,local
what's local slang for goodbye in hawaii,local
how do you say hello in french,local
tell me how to say hello in spanish,local
what do i say for goodbye in hawaii,local
translate hello into french for me,local
how do i say hello in french,local
translate for me hello into french,local
how would they say say goodbye in hawaii,local
what is spanish for hello,local
how would i say hello in french,local
how can i say i love you in italy,local
what is spanish for good morning,local
how do you say it's snowing in german,local
how would you say can i borrow five dollars in portuguese,local
do you know how to say where is the restroom in french,local
how would i say pleased to meet you if i were japanese,local
can you translate hello into swedish for me,local
can you translate i love you into french for me,local
can you translate where's the bar into irish for me,local
how would i say goodbye if i were norwegian,local
how would i say i love you if i were french,local
how would i say hello if i were swedish,local
can you translate good bye into russian for me,local
can you translate i have to go pee into korean for me,local
how would i say i'm not guilty if i were mexican,local
how do you say thank you in spanish,local
how does one say thank you in spanish,local
how can i say thank you in spanish,local
what is thank you in spanish,local
what is the way to say thank you in spanish,local
"how do they say ""who is your father"" in german",local
"how do they say ""where's the bathroom"" in spanish",local
"how do they say ""how's it going"" in swahili",local
"how do they say ""i love you"" in japanese",local
"how do they say ""what's up"" in chinese",local
how do you say thank you in german,local
how do you say please in arabic,local
how do you say cat in spanish,local
how do you say i'm hungry in french,local
how do you say i need coffee in dutch,local
how do they say yes in brazil,local
can you translate cat into russian for me,local
can you translate bowl into russian for me,local
how do they say hello in france,local
i wanna know a phrase in spanish,local
can you translate bat into russian for me,local
how do they say no in germany,local
can you translate hi into spanish for me,local
i wanna learn a phrase in russian,local
how do they say hello in germany,local
can you translate milk into spanish for me,local
how do they say hello in brazil,local
please set a 4 minute timer,local
please set a timer for 6 minutes,local
set a timer for 5 minutes,local
i need a 7 minute timer,local
i need to set the timer for two minutes,local
can you set a timer for me for fifteen minutes starting now,local
start the timer now and stop at thirty minutes,local
i would like you to set the timer to go off in ten minutes,local
please set a timer for 40 minutes,local
wake me in an hour,local
please set a timer for cookies,local
i want a timer set,local
remind me in (x) hours,local
set timer for (x) minutes,local
i gotta have a 10 minute timer,local
please set a timer for me,local
i need a 10 minute timer,local
i wish to have a 10 minute timer,local
i really need to set a timer,local
set a new timer for ten seconds,local
set a timer for me,local
i want a 10 minute timer,local
i gotta set a timer,local
set a 10 minute timer,local
set a brand new timer for eight seconds,local
set a ten second timer,local
i must set a timer,local
set a timer for twelve seconds,local
set a timer for fifteen seconds,local
tell me when two minutes are up,local
start a timer for two minutes,local
set a timer for two minutes,local
start counting down from two minutes,local
can you set a timer for two minutes,local
"""please set 5 minute timer",local
can u please set the timer for 5 minutes,local
set timer of 5 minutes,local
"""can u set a timer for 5 minutes",local
set a one hour timer,local
please set a timer for 20 minutes,local
set a five minute timer please,local
set a timer for two hours,local
can you set a two hour timer,local
set the timer for me please,local
you need to set the timer for me,local
i need you to set timer for me,local
please set the timer for me,local
i would like a timer set,local
can you set a timer,local
i need you to set a time,local
i need a timer set for 15 minutes,local
start a countdown for 20 minutes,local
set a timer for 15 minutes,local
i'll need you to set a timer for 10 minutes,local
let's get a timer set for 5 minutes,local
set a timer for 35 minutes,local
please start counting down from 10 minutes,local
let's get a timer going for 10 minutes,local
i need a timer for 20 seconds,local
timer 5 minutes,local
alert me in 20 minutes,local
give me a 10 minute countdown,local
let me know in 15 minutes please,local
"i'm cooking an egg, timer for 3 mins",local
10 minute timer,local
start a timer for 10 minutes,local
timer 10 minutes,local
count down 10 minutes,local
make up a timer for me,local
create a timer for me,local
can you set a timer for me,local
i need to set a timer,local
set up a timer,local
could you start a timer for me,local
lets set a timer for me,local
please run a timer for me,local
set a one minute timer,local
set a five minute timer,local
set a seven minute timer,local
start a timer for me,local
set a four minute timer,local
set a six minute timer,local
how do i set a timer,local
i want a timer for 5 minutes,local
timer for 5 minutes,local
set a timer to go off in 5 minutes,local
set timer for 5 minutes,local
i want to set a timer,local
make a timer for 5 minutes,local
please set a timer for,local
remind me that time is up in sixty minutes,local
set an alarm for nine minutes from now,local
tell me when ninety minutes have passed,local
please set timer for 4 pm,local
want 5 minute timer,local
set 30 minute timer,local
get a 3 minute timer,local
"please, can you set the timer for me",local
can you please the timer,local
will you set the timer,local
what is the meaning of realism,local
what is regard mean,local
what is the meaning of interorganizational,local
what is it is all relative mean,local
what is intercontinental mean,local
what is the meaning of supercede,local
what is let it be mean,local
what is the definition of incomprehensible,local
what is the meaning of stupendous,local
what is the definition of intelligent,local
what is good riddance mean,local
what is break a leg mean,local
what is the meaning of hyperactive,local
what is the definition of valor,local
what is stupedous meant,local
find the meaning of qat,local
what the heck is qat,local
define qat for me,local
read me a definition for qat,local
look up qat please,local
what might the meaning of altruism be,local
exactly what does altruism mean,local
what does altruism mean,local
what is the definition of altruism,local
what is the meaning of altruism,local
affiliate's definition is what,local
the definition of affiliate is,local
what's the meaning of affiliate,local
what's affiliate definition,local
definition of affiliate is what,local
whats the definition of poor,local
"describe the meaning of ""dog",local
"what does ""money"" mean",local
tell me what the word die means,local
what is the definition of succumb,local
what is the meaning of telepathy,local
what does tertiary mean,local
tell me the definition of the word redemption,local
what is the meaning of the word lux,local
what is an ataraxy,local
what does the word ataraxy mean,local
what does ataraxy mean,local
use the word ataraxy in a sentence,local
define ataraxy,local
what does discretionary mean,local
define discretionary,local
i want to know the definition of discretionary,local
can you give the definition of deiscretionary,local
let's hear the definition of iridium,local
what's the definition of analogy,local
can you tell me the definition of sucrose,local
definition of anachronism,local
what's the definition of patriarchy,local
can you tell me the definition of yttrbium,local
please share the definition of episcopalian,local
what does saffron mean,local
define sonogram,local
define thoroughbred,local
what's the meaning of a fortnight,local
what is an anachronism,local
what's the meaning of emulsify,local
tell me what cyst means,local
what is the definition of flange,local
tell me what flange means,local
define flange,local
flange means what,local
what is the meaning of flange,local
"what does ""rescind"" mean",local
"what is the meaning of word ""rescind",local
"is ""rescind"" a word of positive connotation",local
"where i can use word ""rescind",local
read me the definition of ajar,local
what does ajar mean,local
can you show me the dictionary definition of ajar,local
tell me what monstrosity means,local
give me the definition of ajar,local
what is the definition of didactic,local
i need to know what adumbrate means can you look it up for me now,local
i want to know what the word discomfit means,local
find what the word diaphanous mean please,local
do you know what calumny means  please look it up for me,local
find out what the word abrogate means for me,local
tell me what edict means,local
what does the word abjure mean,local
can you tell me what dirge means,local
tell me what the word arboreal means,local
whats the definition of transmute,local
what is the meaning of the word slander,local
what is meant by defense,local
tell me what the word bounty means,local
what does deceive mean,local
define zesty,local
look up zesty in dictionary,local
definition of zesty,local
what is the definition of zesty,local
what does zesty mean,local
tell me what alternative means,local
what does alternative mean,local
give me the meaning of alternative,local
tell me the meaning of alternative,local
does life have meaning,local
is being alive the meaning of life,local
what is the real meaning of life,local
what is the answer to the meaning of life,local
is there really an answer to the meaning of life,local
does life have a meaning,local
who can tell me if there's any meaning to life,local
what makes life have any meaning,local
why do you think we're here,local
what's the answer to existence,local
what's the point of sentience,local
what's the purpose of existence,local
what's the purpose of life,local
what's the point of this dumpster fire known as life,local
what is life's meaning,local
is there a greater purpose in life,local
what is our purpose in life,local
how is life in existence,local
what's lifes meaning,local
what exactly is the meaning of life,local
whats lifes meaning exactly,local
what's the meaning of this life,local
what is the meaning of life here,local
does my life have meaning,local
i wish to know the meaning of life,local
i wanna know the meaning of life,local
i wanna know the point of life,local
i need to know the point of life,local
i must know the point of life,local
tell the meaning of life,local
i gotta know the meaning of life,local
what is your take on the meaning of life,local
tell me what is the purpose of life,local
what meaning does life hold,local
what do you think is the meaning of like,local
