query,label
"Need this for an interview, practice problem using central limit theorem",local
load balancing cheat sheet thanks,local
"just checking, will it rain in mumbai in the next few hours",online
that’s actually wrong,local
"Hey, the ring road conditions right now because of the storm right now",online
"hey, bitcoin price action this week so far — need it fast",online
what do i need to buy to make a spaghetti,local
do i need to get a visa to visit canada,online
i appreciate that,local
what will traffic be like at 5:00 going towards the mall,online
quick one - how humid is it in san francisco right now for real,online
do i need a visa to get into canada later this year,online
"For class tomorrow, why did the treaty of versailles terms happen for revision",local
"need this for an interview, how does microservices architecture actually work under the hood thanks",local
Urgent - gold rate live chart movement as of now,online
why is process vs thread used instead of database indexing,local
"For my homework, how would you implement publish subscribe pattern from scratch before my exam",local
"fyi need to know, who won the ashes series last night rn",online
how to solve problems using gradient descent math?,local
Timeline of the renaissance key artists — struggling with this,local
"fyi need to know, is the t20 world cup game still playing right now before my meeting",online
please repeat over what you said,local
live score for the nba game in the last hour,online
"genuinely curious, explain the silk road trade routes in a short paragraph in simple terms",local
how many people go to chili's around 9pm,online
what's the syntax for a python dictionary comprehension,local
Quick refresher on hash map before my exam,local
i need to change my username,local
"just checking, the flood situation downtown status update please pls",online
does iron skillet at the truck stop trake reservations,online
please tell me how to ask for a taxi in french,local
is the toll plaza jammed up right now,online
"hey, why did the age of exploration key figures happen with an example",local
i must change your name to amanda,local
reset the factory settings if possible,local
are you familiar with any types of subjects,local
did the parliament session today get resolved yet,online
ok so traffic status on the interstate this morning,online
what step do i take if my bag got lost on the flight,online
what's the usual time for tuna casserole,local
book a flight from la to madrid with southwest,online
tcs stock live chart movement this morning,online
Textbook definition of stack vs heap memory,local
"genuinely curious, foreign key constraints for dummies for my notes",local
ngl current valuation on bitcoin?,online
Urgent - is the highway flooded from the downpour right now before my meeting,online
what is the status of the application for a credit card i put in,online
which types of questions can i ask you,local
repeat the question,local
Timeline of the mughal empire timeline pls,local
i wanna know the meaning of life,local
where you from the usa,local
"hey, is the highway open or blocked at the moment asap",online
who can tell me if there's any meaning to life,local
you can call me steve,local
what level is my gas tank at,online
Who won the asia cup final last night pls,online
can i call you something else,local
ngl live score for the nba game right now,online
Ok so live score for the premier league match,online
"real talk, live score for the india vs australia test at the moment",online
so real time quote for ripple xrp before i head out,online
how is dogecoin trending today,online
ok so final score of the india vs australia test for real,online
why did the signing of the magna carta happen,local
"in paris, get me a hotel room for 4 people from march 1st to 3rd",online
what do the ratings say about korean bbq,online
i wanna know a phrase in spanish,local
urgent - current congestion level on the toll plaza while i'm stuck in traffic,online
quick one - who's leading in the ashes series currently pls,online
quick one - real time quote for bitcoin for real,online
Ok so real time quote for the s&p 500 in the last hour,online
can yogurt be used for sour cream,local
can you go to the whisper voice,local
is it possible to get a ford in austin from may the 5th to may the 7th of this year,online
"Hey, any delays on the interstate today right now",online
is there any opinions on the sushi at yakamoto,online
does olive garden take reservations,online
i need to do a fair coin flip,local
probability distributions explained with an example problem,local
what are the reviews like for mission chinese,online
ngl current valuation on nifty 50 before my meeting,online
"hey, live score for the euro cup semifinal as of now",online
Correlation vs causation for my calculus homework,local
walk through convex optimization basics with numbers before my exam,local
"hey, is the expressway flooded from the downpour right now as of now",online
turn down volume,local
"for my homework, garbage collection example in python please — struggling with this",local
Quick q - permutations and combinations formula and when to use it briefly,local
how many pesos in one dollar us,online
"revert to your factory settings, please",local
i need to know if you are a bot,local
final score of the euro cup semifinal,online
what's my current location,online
don't you work for your self,local
i need you to flip a coin so i can make a choice,local
what words would i use to tell someone i am lost if i were japanese,local
i do not believe that that is correct,local
Walk through standard deviation formula with numbers,local
what types of subjects do you know,local
The discovery of penicillin summary for history class,local
"for class tomorrow, the mughal empire timeline summary for history class?",local
Quick refresher on closures in javascript before my exam,local
Current congestion level on the flyover near the city center right now,online
i need to know if you are a real person or an ai,local
permutations and combinations — proof and intuition,local
"I don't get promises vs callbacks, someone explain",local
"for my homework, how to solve problems using matrix multiplication rules with an example",local
"i didnt hear what you just said, can you say it again",local
what is the sushi like at yakamoto,online
"I keep forgetting greedy algorithms, break it down for me",local
are you a human or an ai,local
"real talk, the wimbledon final score update please rn",online
"real talk, is the expressway flooded from the downpour right now tonight",online
The boston tea party — what actually happened,local
walk through eigenvalues and eigenvectors with numbers,local
Singleton pattern — key points to remember,local
please tell me if a coin flip lands on heads or tails,local
is it ok to substitute spinach for lettuce,local
ngl who won the india vs australia test last night at the moment,online
"i will be in aiken on may 12 to may 16, i need to rent a car",online
Bitcoin live chart movement at the moment,online
i'd like you to roll a 6 sided dice,local
"Just checking, who's leading in the wimbledon final currently at the moment",online
Is it safe to drive in pune with this storm,online
i'd like it to be louder,local
ok so traffic status on the ring road this morning pls,online
asynchronous programming for dummies before my exam,local
"real talk, infosys shares live chart movement asap",online
do i have enough fuel to make it to the theater,online
spin a coin,local
whats the status of my south west flight,online
"I keep forgetting asynchronous programming, break it down for me",local
The mughal empire timeline — what actually happened,local
how long do you cook a salmon,local
"for class tomorrow, why did the decolonization of africa happen?",local
"just checking, who's leading in the wimbledon final currently — need it fast",online
So explain the discovery of penicillin in a short paragraph,local
"fyi need to know, current valuation on apple stock before i head out",online
i need to get an uber for three people to go to the zoo,online
who won the india vs australia test last night rn,online
please talk to me in the male british accent,local
do you have a name i can use,local
so give me a quick rundown of the american civil war causes,local
are there any interesting activities to do in austin,online
"real talk, any delays on the metro line today?",online
can you give me info on miami weather,online
can you make me laugh,local
do i need a visa to go to somewhere internationally,online
