query,label
Pros and cons of multithreading in java,local
final score of the ufc fight card no cap,online
"need this for an interview, multiple inheritance in python — key points to remember thanks",local
how does heap data structure actually work under the hood,local
Quick q - stack vs heap memory cheat sheet — struggling with this,local
Is the flight delayed out of sydney due to fog pls,online
quick check on the s&p 500 before i trade,online
Compare stack vs heap memory and hash map in one paragraph,local
why did the treaty of versailles terms happen with an example,local
Garbage collection for dummies,local
"genuinely curious, i keep forgetting monads in haskell, break it down for me for revision",local
so ci cd pipeline basics interview question breakdown pls,local
"For my homework, correlation vs causation — proof and intuition before my exam",local
practice problem using partial derivatives,local
why did the discovery of penicillin happen,local
"need this for an interview, the industrial revolution key inventions summary for history class thanks",local
Quick one - what's going on with the wildfire in the hills at the moment,online
"just checking, live score for the world cup qualifier in the last hour",online
Practice problem using eigenvalues and eigenvectors before my exam,local
Ngl infosys shares price right now before my meeting,online
is there a heat advisory in paris today,online
timeline of the industrial revolution key inventions,local
partial derivatives formula and when to use it pls,local
linear regression math for my calculus homework,local
The age of exploration key figures — what actually happened in simple terms,local
timeline of when the berlin wall fell with an example,local
"for my homework, greedy algorithms tutorial with code for my notes",local
ok so the nba game score update please before i head out,online
the f1 race score update please,online
Real world use case for recursion,local
quick one - the f1 race score update please asap,online
so key figures involved in the great depression causes — struggling with this,local
Did usd to inr go up or down this morning,online
"fyi need to know, is the ipl match still playing right now while i'm stuck in traffic",online
"just checking, the interstate conditions right now because of the storm as of now",online
"genuinely curious, limits and continuity explained with an example problem in simple terms",local
quick one - the protest downtown developments as of today,online
Ok walk through linear regression math with numbers before my exam,local
the premier league match result just now — need it fast,online
"Hey, nvidia stock price right now before i head out",online
Ngl breaking news on the covid case numbers,online
who won the nba game last night this evening,online
urgent - is there a heat advisory in san francisco today tonight,online
Ok so final score of the euro cup semifinal this evening,online
"I don't get pointers vs references, someone explain",local
"genuinely curious, derive eigenvalues and eigenvectors step by step pls",local
"For my homework, the decolonization of africa — what actually happened thanks",local
"real talk, is the f1 race still playing right now pls",online
Ok so live score for the asia cup final right now,online
how to solve problems using quadratic formula,local
Laplace transform — proof and intuition before my exam,local
quick q - the ottoman empire decline — what actually happened,local
version control branching — key points to remember,local
joins in sql example in python please,local
Is the euro cup semifinal still playing right now pls,online
The mughal empire timeline summary for history class — struggling with this,local
"just checking, is the airport terminal closed due to the accident",online
Current valuation on nasdaq asap,online
"for class tomorrow, the theory of evolution basics summary for history class thanks",local
Current congestion level on the metro line,online
How to solve problems using markov chains,local
how to solve problems using bayes theorem briefly,local
so important dates related to the silk road trade routes?,local
the main train route conditions right now because of the storm,online
is there a heat advisory in tokyo today as of now,online
is the earthquake near the coast still ongoing no cap,online
"just checking, who won the grand slam tennis match last night before i head out",online
Breaking news on the protest downtown,online
ok so is the harbor bridge open or blocked at the moment just curious,online
so reliance shares live chart movement for real,online
notes on graph traversal for my assignment?,local
ok so the supreme court verdict status update please — need it fast,online
"hey, the theory of evolution basics — what actually happened for my notes",local
chain rule in calculus formula and when to use it for revision,local
How to solve problems using quadratic formula?,local
urgent - the earthquake near the coast developments as of today at the moment,online
Ngl is the highway closed due to the accident pls,online
"hey, just heard about the protest downtown, what's the latest — need it fast",online
"hey, did the parliament session today get resolved yet no cap",online
"just checking, is the flight delayed out of pune due to fog for the group chat",online
The t20 world cup game result just now,online
is it safe to drive in mumbai with this storm,online
Solid overview of stack vs heap memory for revision,local
"real talk, traffic status on the metro line this morning this morning",online
"For class tomorrow, backtracking algorithms cheat sheet with an example",local
"need this for an interview, how would you implement foreign key constraints from scratch briefly",local
Ok so is the flight delayed out of paris due to fog at the moment,online
ok so dogecoin rate as of this minute before i head out,online
Textbook definition of stack vs heap memory,local
any updates on the parliament session today happening today,online
how would you implement primary key vs unique key from scratch,local
The india vs australia test highlights from tonight,online
walk me through thread pools step by step,local
"Just checking, the india vs australia test highlights from tonight before i head out",online
Quick one - is the airport terminal flooded from the downpour right now — need it fast,online
The causes of world war 1 summary for history class briefly,local
urgent - current congestion level on the toll plaza this evening,online
urgent - any delays on the harbor bridge today — need it fast,online
"genuinely curious, background on the wright brothers first flight for my essay pls",local
"real talk, infosys shares live chart movement asap",online
Who's leading in the champions league final currently,online
"monolith vs microservices, explain like i'm a beginner coder",local
Practice problem using set theory basics,local
merge sort tutorial with code — struggling with this,local
So live score for the nba game this evening,online
"Hey, current air quality index in chicago",online
Is the flight delayed out of berlin due to fog at the moment,online
"hey, quick refresher on inheritance vs composition before my exam pls",local
"hey, tesla stock today's high and low in the last hour",online
"hey, the la liga clasico result just now as of now",online
derive permutations and combinations step by step?,local
"for class tomorrow, explain microservices architecture with a simple example briefly",local
the wimbledon final score update please pls,online
walk through correlation vs causation with numbers — struggling with this,local
ok why did ancient egyptian pyramid construction happen before my exam,local
quick one - how humid is it in kolkata right now for the group chat,online
"need this for an interview, the unification of germany — what actually happened for revision",local
ripple xrp rate as of this minute,online
quick one - dow jones price right now this morning,online
"need this for an interview, law of sines — proof and intuition before my exam",local
"Hey, final score of the champions league final no cap",online
"For my homework, walk through convex optimization basics with numbers — struggling with this",local
Why is operator overloading in c++ used instead of binary search tree for my notes,local
ok so traffic status on the interstate this morning,online
how to implement depth first search on a graph,local
quick one - how bad is the flood situation downtown right now just curious,online
"just checking, any updates on the airline strike happening today",online
did the parliament session today get resolved yet,online
what's going on with the central bank's rate decision at the moment,online
did tcs stock go up or down this morning,online
is the harbor bridge flooded from the downpour right now,online
"need this for an interview, why did the great depression causes happen",local
"genuinely curious, how to solve problems using central limit theorem for my notes",local
ok so any delays on the interstate today — need it fast,online
"Genuinely curious, logarithm rules — proof and intuition for revision",local
compare regular expressions and mutex vs semaphore in one paragraph for revision,local
"just checking, the border tensions status update please for real",online
big O notation vs kubernetes pods which is better and when?,local
mock objects in testing for dummies,local
Who won the premier league match last night currently,online
"fyi need to know, current congestion level on the subway line this evening",online
"need this for an interview, key figures involved in the partition of india",local
urgent - did nasdaq go up or down this morning today,online
Timeline of the decolonization of africa,local
